가게,store
가격,price
가깝다,close
가다,go
가르치다,teach
가방,bag
가수,singer
가스레인지,gas range
가습기,humidifier
가운데,middle
가을,autumn
가족,family
가지,eggplant
가지다,have
간호사,nurse
갈비,rib
갈아타다,transfer
감,feeling
감기에 걸리다,catch a cold
감사합니다,thank you
감자,potato
값,value
강아지,puppy
개,dog
개(단위명사),(unit counter)
거기,there
거실,livingroom
거울,mirror
건강에 좋다,it's good for your health
건강하다,healthy
건축가,architect
걷다,walk
걸다,bet
겨울,winter
결혼,marriage
결혼기념일,wedding anniversary
결혼식,wedding ceremony
경복궁,Gyeongbokgung
경주,Gyeongju
경찰관,police officer
경찰서,police office
경험,experience
계단,stairs
계란,egg
계속,continue
계시다,be there
계절,season
고객,customer
고구마,sweet potato
고기,meat
고맙습니다,thank you
고모,aunt
고추,pepper
고프다,hungry
곳,place
공공 기관,public institutions
공기가 좋다,the air is good
공무원,official
공부,study
공부하다,study
공연,show
공원,park
공장,factory
공책,notebook
공항,airport
과일,fruit
과자,snack
과장님,supervisor
관광,tourism
괜찮다,okay
괜찮아요,it's okay
교사,teacher
교실,classroom
교통편,transportation
구경,caliber
구급상자,first aid kit
구두,shoes
구청,ward
국물,soup
국수,noodle
국적,nationality
군만두,fried dumplings
군인,soldier
권,volume
귀,ear
귀걸이,earring
귀엽다,cute
귤,tangerine
그네를 타다,take a swing
그래서,so
그럼,then
그릇,bowl
그리고,and
그리다,draw
그림,drawing
그저께,day before yesterday
극장,theater
근처,near by
금요일,Friday
기념일,anniversary
기다리다,wait
기대되다,be expected
기분,feeling
기쁘다,happy
기술자,technician
기운,strength
기자,reporter
기차,train
기차역,train station
기침,cough
김,kim
김밥,kimbab
김치,kimchi
김치찌개,kimchi stew
깎다,cut
깨끗하다,clean
깻잎,sesame
꼭,exactly
꽃,flower
꽃집,florists
꿀,honey
끄다,turn off
끓이다,boil
나가다,go out
나라,country
나쁘다,bad
나오다,come out
나이,age
나중,later
날,day
날씨,weather
날씬하다,it is slim
날짜,date
남동생,younger brother
남부 지방,south
남이섬,nami
남자,man
남편,husband
낮,day
낮다,low
내과,medicine
내년,next year
내려가다,go down
내일,tomorrow
냉면,cold noodles
냉장고,refrigerator
너무,too
넓다,wide
넘어지다,fall down
넣다,insert
넥타이,necktie
노래,song
노래방,karaoke
놀다,play
놀이공원,amusement park
농구,basketball
농구공,a basketball
농부,farmer
높다,high
누가,who
누구,who
누나,sister
눈,eye
눈병,eye disease
느리다,slow
늦다,late
다니다,go
다리,bridge
다섯,five
다시,again
다용도실,utility room
다음 달,next month
다음 주,next week
다치다,get hurt
단오,Dano
단풍,maple
달력,calendar
닭,chicken
닭갈비,chicken ribs
담배를 피우다,smoking
당근,carrot
대,versus
대추,jujube
대추차,jujube tea
대학생,college student
댁,house
더,more
덥다,hot
도서관,library
도시,city
도장,stamp
도착하다,arrive
돈,money
돈가스,pork cutlets
돈을 넣다,put the money
돈을 보내다,spend your money
돈을 찾다,withdraw cash
돌,stone
돌아오다,come back
돌잔치,birthday party
돌잡이,Doljabi
돕다,help
동료,colleague
동안,during
동전,coin
동주민센터,east community center
동화책,fairy tale book
돼지,pig
돼지고기,pork
된장,miso
된장찌개,soybean paste stew
두부,tofu
두통,headache
뒤,rear
드라마,drama
드리다,give
드시다,eat
들어가다,go in
등산,mountain climbing
등산화,hiking boots
따뜻하다,warm
딸,daughter
딸기,strawberry
떠들다,chatter
떡국,rice cake soup
떡볶이,tteokbokki
똑똑하다,smart
뚱뚱하다,fat
뜨겁다,hot
뜻,meaning
띠,belt
라면,ramen
린스,rinse
마당,yard
마리,marie
마시다,drink
마트,mart
만나다,meet
만나서 반갑습니다,nice to meet you
만지다,touch
많다,many
많이,a lot of
말,words
맛있게 드세요,bon appetite
맛있다,delicious
맞다,right
매실,plum
매일,everyday
맥주,beer
맵다,spicy
머리,head
머리핀,barrette
먹다,eat
먼저,first
멀다,far
멋있다,cool
멍이 들다,hold bruises
명,persons
명절,holiday
모과차,quince car
모두,all
모레,tomorrow
모르다,I do not know
모이다,gather
모자,hat
목,neck
목걸이,necklace
목소리,voice
목요일,thursday
몸살,sick
몽골,mongolia
무,radish
무궁화,rose of sharon
무릎,knee
무리하다,overwork
무슨,what
무엇,what
문,door
문화,culture
물,water
물약,liquid medicine
물파스,Liquid Pas
미안합니다,sorry
